name,x_position,y_position,sample,ratio,rendering_time
fishy_cat,3,3,1000,1,41.05253863334656
fishy_cat,0,0,2000,2,4.107309818267822
fishy_cat,0,0,2000,4,3.0780532360076904
fishy_cat,0,0,2000,5,2.2680280208587646
fishy_cat,0,0,2000,8,0.6961746215820312
fishy_cat,0,1,2000,2,8.486238479614258
fishy_cat,0,1,2000,4,6.062509775161743
fishy_cat,0,1,2000,5,4.9049460887908936
fishy_cat,0,1,2000,8,1.998216152191162
fishy_cat,0,2,2000,2,11.656474590301514
fishy_cat,0,2,2000,4,8.11400842666626
fishy_cat,0,2,2000,5,6.373310565948486
fishy_cat,0,2,2000,8,2.312763214111328
fishy_cat,0,3,2000,2,10.89204478263855
fishy_cat,0,3,2000,4,8.416060447692871
fishy_cat,0,3,2000,5,6.659523010253906
fishy_cat,0,3,2000,8,2.7933804988861084
fishy_cat,0,4,2000,2,10.47584867477417
fishy_cat,0,4,2000,4,8.22411298751831
fishy_cat,0,4,2000,5,6.588069677352905
fishy_cat,0,4,2000,8,2.3829245567321777
fishy_cat,0,5,2000,2,12.948121786117554
fishy_cat,0,5,2000,4,8.655616283416748
fishy_cat,0,5,2000,5,6.89870023727417
fishy_cat,0,5,2000,8,2.8465542793273926
fishy_cat,0,6,2000,2,10.629880905151367
fishy_cat,0,6,2000,4,8.62279462814331
fishy_cat,0,6,2000,5,6.753854990005493
fishy_cat,0,6,2000,8,2.429121971130371
fishy_cat,0,7,2000,2,9.745991230010986
fishy_cat,0,7,2000,4,5.777620315551758
fishy_cat,0,7,2000,5,4.376127481460571
fishy_cat,0,7,2000,8,1.8589112758636475
fishy_cat,0,8,2000,2,5.2784552574157715
fishy_cat,0,8,2000,4,2.9644033908843994
fishy_cat,0,8,2000,5,2.1535534858703613
fishy_cat,0,8,2000,8,0.7284286022186279
fishy_cat,0,9,2000,2,1.9356334209442139
fishy_cat,0,9,2000,4,1.7568621635437012
fishy_cat,0,9,2000,5,1.2593393325805664
fishy_cat,0,9,2000,8,0.45975303649902344
fishy_cat,0,10,2000,2,2.356734275817871
fishy_cat,0,10,2000,4,1.590825080871582
fishy_cat,0,10,2000,5,1.1357803344726562
fishy_cat,0,10,2000,8,0.5077199935913086
fishy_cat,0,11,2000,2,1.9864387512207031
fishy_cat,0,11,2000,4,1.3666069507598877
fishy_cat,0,11,2000,5,1.147024393081665
fishy_cat,0,11,2000,8,0.44440555572509766
fishy_cat,0,12,2000,2,2.1334586143493652
fishy_cat,0,12,2000,4,1.3178603649139404
fishy_cat,0,12,2000,5,1.0028820037841797
fishy_cat,0,12,2000,8,0.3688790798187256
fishy_cat,0,13,2000,2,1.9558134078979492
fishy_cat,0,13,2000,4,1.2115912437438965
fishy_cat,0,13,2000,5,0.9796466827392578
fishy_cat,0,13,2000,8,0.38996052742004395
fishy_cat,0,14,2000,2,2.074575662612915
fishy_cat,0,14,2000,4,1.1647453308105469
fishy_cat,0,14,2000,5,0.983628511428833
fishy_cat,0,14,2000,8,0.3012852668762207
fishy_cat,0,15,2000,2,1.5860795974731445
fishy_cat,0,15,2000,4,1.124084234237671
fishy_cat,0,15,2000,5,0.8546342849731445
fishy_cat,0,15,2000,8,0.38309812545776367
fishy_cat,1,0,2000,2,5.724383354187012
fishy_cat,1,0,2000,4,4.005295515060425
fishy_cat,1,0,2000,5,3.169933319091797
fishy_cat,1,0,2000,8,1.1851887702941895
fishy_cat,1,1,2000,2,9.367114782333374
fishy_cat,1,1,2000,4,6.657752275466919
fishy_cat,1,1,2000,5,5.3653504848480225
fishy_cat,1,1,2000,8,2.212005615234375
fishy_cat,1,2,2000,2,9.142690181732178
fishy_cat,1,2,2000,4,7.381146669387817
fishy_cat,1,2,2000,5,5.895472288131714
fishy_cat,1,2,2000,8,2.1829652786254883
fishy_cat,1,3,2000,2,10.411377191543579
fishy_cat,1,3,2000,4,9.046742916107178
fishy_cat,1,3,2000,5,6.572685480117798
fishy_cat,1,3,2000,8,2.6854453086853027
fishy_cat,1,4,2000,2,12.685419797897339
fishy_cat,1,4,2000,4,8.615116596221924
fishy_cat,1,4,2000,5,6.949329137802124
fishy_cat,1,4,2000,8,2.485124111175537
fishy_cat,1,5,2000,2,9.885417938232422
fishy_cat,1,5,2000,4,8.24399709701538
fishy_cat,1,5,2000,5,6.416992902755737
fishy_cat,1,5,2000,8,2.6603031158447266
fishy_cat,1,6,2000,2,8.556554794311523
fishy_cat,1,6,2000,4,6.87175726890564
fishy_cat,1,6,2000,5,5.269987106323242
fishy_cat,1,6,2000,8,2.0401451587677
fishy_cat,1,7,2000,2,5.723228216171265
fishy_cat,1,7,2000,4,3.7492613792419434
fishy_cat,1,7,2000,5,2.8239099979400635
fishy_cat,1,7,2000,8,1.252694845199585
