name,multiplier,const,r-squared,linearity_type
calafate,202.48397220549543,2.5577824310617463,0.99996239520926533,ratio
calafate,149.04712691255071,2.1098326340727174,0.99985193689459861,ratio
calafate,39.814742589623826,1.0584903791351306,0.999504187726454,ratio
calafate,81.229715959689671,0.83065884403455548,0.99984191753212648,ratio
calafate,59.380950768375712,1.6140764958597658,0.99954612226376871,ratio
calafate,49.006052310997276,1.531557511766535,0.99985094539346042,ratio
calafate,14.881976794113061,0.11988119878613254,0.99990010729848444,ratio
scene-Helicopter-27,47.823478922069711,0.44096292964960765,0.99989368996292316,ratio
scene-Helicopter-27,49.070220637784089,0.44812182502307457,0.99997467355195024,ratio
scene-Helicopter-27,45.438839878155299,0.37809652395682797,0.99993639306163851,ratio
scene-Helicopter-27,46.214201839734955,0.31232802077855787,0.99997399317362534,ratio
